id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path
57040,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Elle Women Black Dress,dados/fashion-dataset-roupas/images/57040.jpg
39118,Women,Apparel,Bottomwear,Leggings,Black,Fall,2012.0,Casual,Aneri Women Black Leggings,dados/fashion-dataset-roupas/images/39118.jpg
54703,Women,Apparel,Apparel Set,Kurta Sets,Black,Fall,2012.0,Ethnic,Shree Women Black & Pink Salwar Suit with Dupatta,dados/fashion-dataset-roupas/images/54703.jpg
57185,Women,Apparel,Topwear,Tunics,Green,Summer,2012.0,Casual,Elle Women Green Tunic,dados/fashion-dataset-roupas/images/57185.jpg
11093,Women,Apparel,Topwear,Sweaters,White,Fall,2011.0,Casual,Scullers Women Knit White Sweaters,dados/fashion-dataset-roupas/images/11093.jpg
56260,Men,Apparel,Loungewear and Nightwear,Night suits,Black,Summer,2016.0,Casual,SDL by Sweet Dreams Men Black Pyjama Set,dados/fashion-dataset-roupas/images/56260.jpg
57204,Women,Apparel,Bottomwear,Capris,Blue,Fall,2012.0,Casual,Kraus Jeans Women Blue Capris,dados/fashion-dataset-roupas/images/57204.jpg
42238,Women,Apparel,Topwear,Tunics,Grey,Summer,2012.0,Casual,Sepia Women Grey Tunic,dados/fashion-dataset-roupas/images/42238.jpg
36272,Women,Apparel,Loungewear and Nightwear,Night suits,Pink,Summer,2017.0,Casual,SDL by Sweet Dreams Women Pink Night suits,dados/fashion-dataset-roupas/images/36272.jpg
30934,Women,Apparel,Topwear,Kurtis,Black,Summer,2012.0,Ethnic,Fabindia Women Black Kurti,dados/fashion-dataset-roupas/images/30934.jpg
1662,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2012.0,Sports,Nike Men Blue Windrunner Jacket,dados/fashion-dataset-roupas/images/1662.jpg
27101,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012.0,Ethnic,Aneri Women Madhuri Yellow Kurta,dados/fashion-dataset-roupas/images/27101.jpg
37207,Women,Apparel,Bottomwear,Jeggings,Navy Blue,Summer,2012.0,Casual,United Colors of Benetton Women Navy Blue Jeggings,dados/fashion-dataset-roupas/images/37207.jpg
18302,Women,Apparel,Topwear,Kurtis,Green,Fall,2011.0,Ethnic,Aneri Women Kavita Green Kurti,dados/fashion-dataset-roupas/images/18302.jpg
14939,Men,Apparel,Bottomwear,Shorts,Beige,Fall,2011.0,Casual,Status Quo Men Solid Beige Shorts,dados/fashion-dataset-roupas/images/14939.jpg
13223,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2011.0,Casual,Palm Tree Kids Boys Washed Blue Shorts,dados/fashion-dataset-roupas/images/13223.jpg
39475,Women,Apparel,Topwear,Kurtis,White,Summer,2012.0,Ethnic,Diva Women White Printed Kurti,dados/fashion-dataset-roupas/images/39475.jpg
13786,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,Proline Grey Sweater with Knitted Stripes,dados/fashion-dataset-roupas/images/13786.jpg
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,dados/fashion-dataset-roupas/images/19547.jpg
1607,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010.0,Sports,Reebok Men trackpant- male Track Pants,dados/fashion-dataset-roupas/images/1607.jpg
24242,Women,Apparel,Topwear,Kurtis,Green,Fall,2011.0,Ethnic,La-Emotio Women Green Kurti,dados/fashion-dataset-roupas/images/24242.jpg
13999,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Sports,Nike Men Solid Black Jackets,dados/fashion-dataset-roupas/images/13999.jpg
28987,Women,Apparel,Apparel Set,Kurta Sets,White,Summer,2012.0,Ethnic,Biba Outlet Women White Printed Churidar Kurta with Dupatta,dados/fashion-dataset-roupas/images/28987.jpg
18522,Men,Apparel,Topwear,Jackets,Black,Summer,2015.0,Casual,C Vox Men Solid 1349 Black Jacket,dados/fashion-dataset-roupas/images/18522.jpg
52028,Unisex,Apparel,Topwear,Rain Jacket,Brown,Summer,2012.0,,Just Natural Unisex Brown Rain Jacket,dados/fashion-dataset-roupas/images/52028.jpg
30792,Men,Apparel,Loungewear and Nightwear,Lounge Pants,White,Summer,2012.0,Casual,Fabindia Men White Pyjamas,dados/fashion-dataset-roupas/images/30792.jpg
58736,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Puma Women Coral Capris,dados/fashion-dataset-roupas/images/58736.jpg
11520,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,United Colors of Benetton Women Denim Black Jeans,dados/fashion-dataset-roupas/images/11520.jpg
6526,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2011.0,Sports,Nike Women's Strong Poly Black Track Pant,dados/fashion-dataset-roupas/images/6526.jpg
19525,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Check Grey Sweater,dados/fashion-dataset-roupas/images/19525.jpg
1620,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2010.0,Sports,Reebok Men Micro Shorts,dados/fashion-dataset-roupas/images/1620.jpg
4847,Men,Apparel,Topwear,Jackets,Black,Summer,2011.0,Casual,ADIDAS Men Revo Black Jacket,dados/fashion-dataset-roupas/images/4847.jpg
12953,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Casual,Basics Men Brown Trousers,dados/fashion-dataset-roupas/images/12953.jpg
43919,Women,Apparel,Dress,Dresses,Navy Blue,Summer,2012.0,Casual,Femella Women Navy Blue Printed Dress,dados/fashion-dataset-roupas/images/43919.jpg
33309,Boys,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Palm Tree Boys Solid Black Jeans,dados/fashion-dataset-roupas/images/33309.jpg
17902,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Sports,Nike Men Trainng Navy Blue Track Pant,dados/fashion-dataset-roupas/images/17902.jpg
59647,Women,Apparel,Saree,Sarees,Yellow,Fall,2012.0,Ethnic,FNF Yellow Evening Wear Sari,dados/fashion-dataset-roupas/images/59647.jpg
10499,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Flying Machine Women Aspen Yellow Tshirts,dados/fashion-dataset-roupas/images/10499.jpg
21587,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Spykar Men Washed Blue Jeans,dados/fashion-dataset-roupas/images/21587.jpg
33162,Women,Apparel,Topwear,Tunics,Purple,Summer,2012.0,Casual,Sepia Women Purple Tunic,dados/fashion-dataset-roupas/images/33162.jpg
58648,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012.0,Ethnic,ALayna Women Pink & Yellow Kurta,dados/fashion-dataset-roupas/images/58648.jpg
18623,Men,Apparel,Topwear,Sweaters,Blue,Fall,2011.0,Casual,Puma Men Lifestyle Knitted Dark Denim Sweaters,dados/fashion-dataset-roupas/images/18623.jpg
18173,Girls,Apparel,Topwear,Tops,Magenta,Fall,2011.0,Casual,Doodle Kids Girls Layer Magenta Top,dados/fashion-dataset-roupas/images/18173.jpg
51401,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Myntra Men Blue and Yellow Check Shirt,dados/fashion-dataset-roupas/images/51401.jpg
13632,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Red,Summer,2016.0,Casual,Hanes Men Red Knitted Athletic 3/4th Pants,dados/fashion-dataset-roupas/images/13632.jpg
3907,Women,Apparel,Bottomwear,Track Pants,Cream,Summer,2011.0,Casual,Urban Yoga Women's Fitted Yoga Cream Track Pant,dados/fashion-dataset-roupas/images/3907.jpg
26821,Men,Apparel,Bottomwear,Trousers,Brown,Summer,2012.0,Casual,Highlander Men Brown Trousers,dados/fashion-dataset-roupas/images/26821.jpg
50651,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Black,Winter,2016.0,Casual,Chromozome Men Black Lounge Shorts,dados/fashion-dataset-roupas/images/50651.jpg
38932,Girls,Apparel,Bottomwear,Leggings,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Leggings,dados/fashion-dataset-roupas/images/38932.jpg
13630,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Black,Summer,2016.0,Casual,Hanes Men Knitted Black Shorts,dados/fashion-dataset-roupas/images/13630.jpg
27621,Men,Apparel,Bottomwear,Trousers,Green,Summer,2012.0,Casual,Scullers Men Green Cargo Pants,dados/fashion-dataset-roupas/images/27621.jpg
3044,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Men's Freddie Blue T-shirt,dados/fashion-dataset-roupas/images/3044.jpg
51380,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Myntra Men Blue Shorts,dados/fashion-dataset-roupas/images/51380.jpg
52021,Women,Apparel,Loungewear and Nightwear,Lounge Tshirts,Brown,Summer,2016.0,Casual,Inaya Women Lounge Top,dados/fashion-dataset-roupas/images/52021.jpg
30961,Women,Apparel,Topwear,Kurtis,Black,Summer,2012.0,Ethnic,Fabindia Women Black Chanderi Tunic,dados/fashion-dataset-roupas/images/30961.jpg
18743,Women,Apparel,Topwear,Tops,Orange,Fall,2011.0,Casual,Arrow Woman Cameron Orange Top,dados/fashion-dataset-roupas/images/18743.jpg
7154,Women,Apparel,Topwear,Tops,Grey,Fall,2011.0,Casual,Scullers For Her Women's Fashion Summer Lite Ash Grey Top,dados/fashion-dataset-roupas/images/7154.jpg
41006,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Summer,2012.0,Casual,Gini and Jony Girls Woven Navy Blue Shorts,dados/fashion-dataset-roupas/images/41006.jpg
43470,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017.0,Casual,SDL by Sweet Dreams Women White Pyjama Set,dados/fashion-dataset-roupas/images/43470.jpg
17619,Girls,Apparel,Bottomwear,Leggings,White,Fall,2011.0,Casual,Doodle Girls Lace Bow White Leggings,dados/fashion-dataset-roupas/images/17619.jpg
10719,Women,Apparel,Bottomwear,Capris,Blue,Fall,2011.0,Casual,Nike Women Training Blue Capris,dados/fashion-dataset-roupas/images/10719.jpg
16327,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Peter England Men Solid White Shirt,dados/fashion-dataset-roupas/images/16327.jpg
27409,Women,Apparel,Loungewear and Nightwear,Lounge Shorts,Navy Blue,Winter,2015.0,Casual,Jockey Women Navy Blue Capris,dados/fashion-dataset-roupas/images/27409.jpg
4901,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Levis Kids Girl's Desiree Pink Kidswear,dados/fashion-dataset-roupas/images/4901.jpg
10513,Women,Apparel,Topwear,Tunics,White,Fall,2011.0,Casual,Flying Machine Women RN HS Tunic Top,dados/fashion-dataset-roupas/images/10513.jpg
53032,Women,Apparel,Saree,Sarees,Red,Fall,2012.0,Ethnic,FNF Red Printed Sari,dados/fashion-dataset-roupas/images/53032.jpg
40160,Boys,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Gini and Jony Boys Raw Wash Navy Blue Jeans,dados/fashion-dataset-roupas/images/40160.jpg
55810,Women,Apparel,Loungewear and Nightwear,Night suits,Cream,Summer,2017.0,Casual,SDL by Sweet Dreams Women Cream & Grey Night Suit S11-3186,dados/fashion-dataset-roupas/images/55810.jpg
45994,Women,Apparel,Saree,Sarees,Teal,Summer,2012.0,Ethnic,Fabindia Teal Green Mangalgiri Saree,dados/fashion-dataset-roupas/images/45994.jpg
47153,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Capris,dados/fashion-dataset-roupas/images/47153.jpg
23302,Women,Apparel,Bottomwear,Leggings,Brown,Fall,2011.0,Ethnic,W Women Brown Leggings,dados/fashion-dataset-roupas/images/23302.jpg
59991,Women,Apparel,Dress,Dresses,Multi,Fall,2012.0,Casual,Avirate Multicoloured Dress,dados/fashion-dataset-roupas/images/59991.jpg
22430,Women,Apparel,Topwear,Tunics,Green,Summer,2011.0,Ethnic,Global Desi Women Printed Green Tunic,dados/fashion-dataset-roupas/images/22430.jpg
32255,Women,Apparel,Topwear,Kurtis,Blue,Summer,2012.0,Ethnic,Fabindia Women Blue Printed Kurti,dados/fashion-dataset-roupas/images/32255.jpg
14922,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr. Men Men Sleep Placid Blue Tshirts,dados/fashion-dataset-roupas/images/14922.jpg
19534,Men,Apparel,Topwear,Sweaters,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweater,dados/fashion-dataset-roupas/images/19534.jpg
14628,Women,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Women Solid Blue Sweat Shirts,dados/fashion-dataset-roupas/images/14628.jpg
36274,Women,Apparel,Loungewear and Nightwear,Night suits,Grey,Summer,2017.0,Casual,SDL by Sweet Dreams Women Grey & Pink Night suits,dados/fashion-dataset-roupas/images/36274.jpg
36251,Men,Apparel,Loungewear and Nightwear,Night suits,Grey,Summer,2016.0,Casual,SDL by Sweet Dreams Men Grey & Navy Blue Pyjama Set,dados/fashion-dataset-roupas/images/36251.jpg
22787,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Deni Yo Men Washed Blue Jeans,dados/fashion-dataset-roupas/images/22787.jpg
10751,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Sports,Nike Men Breakline Grey Track Pants,dados/fashion-dataset-roupas/images/10751.jpg
48466,Women,Apparel,Dress,Dresses,Black,Winter,2011.0,Party,French Connection Women Black Dress,dados/fashion-dataset-roupas/images/48466.jpg
47060,Women,Apparel,Bottomwear,Salwar,Blue,Summer,2012.0,Ethnic,Shree Wome Blue & White Jodhpuri Salwar,dados/fashion-dataset-roupas/images/47060.jpg
23046,Women,Apparel,Bottomwear,Leggings,Black,Fall,2011.0,Casual,Arrow Woman Black Printed Jeggings,dados/fashion-dataset-roupas/images/23046.jpg
27271,Women,Apparel,Topwear,Tunics,Red,Fall,2011.0,Ethnic,Mother Earth Women Printed Red Tunic,dados/fashion-dataset-roupas/images/27271.jpg
33183,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,Sepia Women Blue Tunic,dados/fashion-dataset-roupas/images/33183.jpg
7053,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,s.Oliver Men Striped Dark Blue Shirt,dados/fashion-dataset-roupas/images/7053.jpg
44930,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jack & Jones Men Blue Jeans,dados/fashion-dataset-roupas/images/44930.jpg
16316,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Peter England Men Printed Navy Blue TShirt,dados/fashion-dataset-roupas/images/16316.jpg
37511,Boys,Apparel,Socks,Booties,Yellow,Summer,2012.0,Casual,Madagascar 3 Infant Boys Yellow Booties,dados/fashion-dataset-roupas/images/37511.jpg
12782,Women,Apparel,Topwear,Kurtas,Red,Fall,2011.0,Ethnic,Mother Earth Women Aug Bagru Red Kurtas,dados/fashion-dataset-roupas/images/12782.jpg
59593,Women,Apparel,Saree,Sarees,Blue,Fall,2012.0,Ethnic,FNF Blue & Purple Collection for Wedding Sari,dados/fashion-dataset-roupas/images/59593.jpg
11073,Men,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,Scullers Men Stripes Black Sweaters,dados/fashion-dataset-roupas/images/11073.jpg
59918,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,Diva Women Multi Coloured Kurta,dados/fashion-dataset-roupas/images/59918.jpg
27871,Women,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Scullers For Her Striped White Shirt,dados/fashion-dataset-roupas/images/27871.jpg
58668,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,ALayna Women Multi Coloured Kurta,dados/fashion-dataset-roupas/images/58668.jpg
36262,Men,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2016.0,Casual,SDL by Sweet Dreams Men White & Black Pyjama Set,dados/fashion-dataset-roupas/images/36262.jpg
57214,Women,Apparel,Bottomwear,Shorts,Blue,Fall,2012.0,Casual,Kraus Jeans Women Blue Shorts,dados/fashion-dataset-roupas/images/57214.jpg
26989,Women,Apparel,Bottomwear,Jeggings,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeggings,dados/fashion-dataset-roupas/images/26989.jpg
11015,Women,Apparel,Topwear,Tunics,Purple,Fall,2011.0,Casual,Wrangler Women Kangroo Pocket Purple Tunics,dados/fashion-dataset-roupas/images/11015.jpg
30609,Men,Apparel,Bottomwear,Shorts,Black,Spring,2013.0,Sports,Nike Men Black Shorts,dados/fashion-dataset-roupas/images/30609.jpg
2956,Women,Apparel,Topwear,Tops,Yellow,Fall,2010.0,Casual,DUSG Women Rishikesh Organic Wheat Top,dados/fashion-dataset-roupas/images/2956.jpg
52348,Women,Apparel,Loungewear and Nightwear,Nightdress,Blue,Winter,2015.0,Casual,Red Rose Women Blue Nightdress,dados/fashion-dataset-roupas/images/52348.jpg
23225,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,Aneri Women Tibett Pink Kurta,dados/fashion-dataset-roupas/images/23225.jpg
20347,Women,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,Scullers For Her Women Solid Black Sweater,dados/fashion-dataset-roupas/images/20347.jpg
47657,Women,Apparel,Bottomwear,Skirts,Cream,Summer,2012.0,Casual,Femella Women Grey Printed Skirt,dados/fashion-dataset-roupas/images/47657.jpg
47074,Women,Apparel,Bottomwear,Patiala,Blue,Fall,2012.0,Ethnic,Shree Women Blue & Mustard Patiala,dados/fashion-dataset-roupas/images/47074.jpg
13627,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Blue,Summer,2016.0,Casual,Hanes Men Knitted Blue Shorts,dados/fashion-dataset-roupas/images/13627.jpg
22364,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Hooded  Blue SweatShirt,dados/fashion-dataset-roupas/images/22364.jpg
55791,Women,Apparel,Loungewear and Nightwear,Night suits,Black,Summer,2017.0,Casual,SDL by Sweet Dreams Women Black & Grey Night Suit 314771,dados/fashion-dataset-roupas/images/55791.jpg
8275,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr.Men Men's Coral Red T-shirt,dados/fashion-dataset-roupas/images/8275.jpg
41005,Girls,Apparel,Bottomwear,Skirts,Navy Blue,Summer,2012.0,Casual,Gini and Jony Girls Woven Navy Blue Skirts,dados/fashion-dataset-roupas/images/41005.jpg
27406,Women,Apparel,Loungewear and Nightwear,Lounge Shorts,Maroon,Winter,2015.0,Casual,Jockey Women Maroon Capris,dados/fashion-dataset-roupas/images/27406.jpg
20218,Men,Apparel,Topwear,Sweaters,Charcoal,Fall,2011.0,Casual,Wrangler Men Rib Charcoal Sweater,dados/fashion-dataset-roupas/images/20218.jpg
41786,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Remanika Women Black Dress,dados/fashion-dataset-roupas/images/41786.jpg
22394,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,ADIDAS Women Ess MF3S  Black Track Pant,dados/fashion-dataset-roupas/images/22394.jpg
34205,Men,Apparel,Bottomwear,Track Pants,Grey Melange,Fall,2013.0,Sports,Proline Men Grey Melange Track Pants,dados/fashion-dataset-roupas/images/34205.jpg
28779,Women,Apparel,Topwear,Kurtis,Green,Summer,2012.0,Ethnic,Aurelia Women Printed Green Kurti,dados/fashion-dataset-roupas/images/28779.jpg
10814,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Wrangler Men Easter Bright Amslar Purple Shirt,dados/fashion-dataset-roupas/images/10814.jpg
18999,Men,Apparel,Topwear,Jackets,Black,Summer,2011.0,Casual,ADIDAS Originals Men Adi Firebird TT Black Jacket,dados/fashion-dataset-roupas/images/18999.jpg
12286,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,2011.0,Formal,Genesis Men Solid Navy Blue Trousers,dados/fashion-dataset-roupas/images/12286.jpg
13735,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Formal,Belmonte Men Stripes Green Shirts,dados/fashion-dataset-roupas/images/13735.jpg
11435,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,United Colors of Benetton Women Light Winter White Tops,dados/fashion-dataset-roupas/images/11435.jpg
47062,Women,Apparel,Bottomwear,Patiala,Multi,Fall,2012.0,Ethnic,Shree Women Multi Colored Patiala,dados/fashion-dataset-roupas/images/47062.jpg
8720,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Indigo Nation Men Stripes Green Shirts,dados/fashion-dataset-roupas/images/8720.jpg
15115,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,2012.0,Formal,Arrow Men TR Finish Navy Blue Trousers,dados/fashion-dataset-roupas/images/15115.jpg
28969,Women,Apparel,Apparel Set,Kurta Sets,Red,Summer,2012.0,Ethnic,Biba Women Red Embroidered Churidar Kurta with Dupatta,dados/fashion-dataset-roupas/images/28969.jpg
15104,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Mother Earth Women Printed Black Kurtas,dados/fashion-dataset-roupas/images/15104.jpg
57419,Women,Apparel,Loungewear and Nightwear,Robe,Blue,Winter,2015.0,Casual,Amante Blue Robe,dados/fashion-dataset-roupas/images/57419.jpg
30941,Women,Apparel,Topwear,Tunics,Rust,Summer,2012.0,Ethnic,Fabindia Women Rust Printed Tunic,dados/fashion-dataset-roupas/images/30941.jpg
19964,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Stripes Grey Sweater,dados/fashion-dataset-roupas/images/19964.jpg
40605,Women,Apparel,Topwear,Kurtas,Teal,Summer,2012.0,Ethnic,Span Women Teal Kurta,dados/fashion-dataset-roupas/images/40605.jpg
51588,Women,Apparel,Bottomwear,Jeggings,Blue,Summer,2012.0,Casual,Wrangler Women Blue Jeggings,dados/fashion-dataset-roupas/images/51588.jpg
21885,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,BIBA Women Printed Green Kurta,dados/fashion-dataset-roupas/images/21885.jpg
42205,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Sepia Women Blue Top,dados/fashion-dataset-roupas/images/42205.jpg
16193,Men,Apparel,Topwear,Sweaters,Green,Fall,2011.0,Casual,Puma Men Knitted Vest Green Sweater,dados/fashion-dataset-roupas/images/16193.jpg
52967,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,FNF Green Sari,dados/fashion-dataset-roupas/images/52967.jpg
12781,Women,Apparel,Apparel Set,Kurta Sets,Black,Fall,2011.0,Ethnic,Mother Earth Women Cotton Black Salwar Suit,dados/fashion-dataset-roupas/images/12781.jpg
50869,Women,Apparel,Saree,Sarees,Red,Fall,2012.0,Ethnic,Prafful Red & Black Printed Sari,dados/fashion-dataset-roupas/images/50869.jpg
31454,Women,Apparel,Bottomwear,Skirts,Black,Summer,2012.0,Sports,Nike Women Tennis Black Skirt,dados/fashion-dataset-roupas/images/31454.jpg
52447,Women,Apparel,Loungewear and Nightwear,Nightdress,Black,Summer,2017.0,Casual,Red Rose Black Nightdress,dados/fashion-dataset-roupas/images/52447.jpg
34930,Women,Apparel,Topwear,Dupatta,Navy Blue,Summer,2012.0,Ethnic,Fabindia Navy Blue Dupatta,dados/fashion-dataset-roupas/images/34930.jpg
57212,Women,Apparel,Bottomwear,Jeggings,Blue,Fall,2012.0,Casual,Kraus Jeans Women Blue Jeggings,dados/fashion-dataset-roupas/images/57212.jpg
5437,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men's Swoosh White T-shirt,dados/fashion-dataset-roupas/images/5437.jpg
26322,Men,Apparel,Bottomwear,Tracksuits,Charcoal,Fall,2013.0,Sports,Proline Men Charcoal Grey Tracksuit,dados/fashion-dataset-roupas/images/26322.jpg
